Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,131.830002,132.169998,127.349998,130.520004,130.030075,20469300
2021-01-26,129.050003,129.320007,126.250000,126.650002,126.174599,17084600
2021-01-27,124.949997,125.099998,121.500000,121.739998,121.283028,16732700
2021-01-28,124.500000,127.580002,123.580002,125.830002,125.357681,14148100
2021-01-29,124.000000,124.360001,120.550003,121.519997,121.063850,15169200
2021-02-01,124.540001,126.849998,123.379997,126.660004,126.184563,10179900
2021-02-02,129.470001,130.250000,127.449997,128.440002,127.957886,9302400
2021-02-03,129.000000,129.139999,126.059998,127.500000,127.021408,9676600
2021-02-04,127.500000,128.199997,125.970001,128.149994,127.668961,7445100
2021-02-05,128.789993,128.880005,126.699997,127.779999,127.300354,6226800
2021-02-08,128.699997,133.250000,128.699997,132.550003,132.052460,11160000
2021-02-09,133.979996,134.410004,131.750000,132.679993,132.181961,7929100
2021-02-10,134.119995,136.000000,132.509995,133.690002,133.188171,12196300
2021-02-11,135.399994,139.229996,134.059998,139.160004,138.637650,12347900
2021-02-12,138.919998,139.809998,137.160004,138.059998,137.541763,11114100
2021-02-16,141.610001,142.199997,139.419998,140.050003,139.524307,11833600
2021-02-17,139.210007,139.639999,136.100006,136.270004,135.758499,12311200
2021-02-18,134.850006,135.880005,133.399994,134.630005,134.124649,11614600
2021-02-19,136.149994,137.949997,135.720001,136.660004,136.147034,10771900
2021-02-22,133.589996,135.279999,133.179993,133.570007,133.068634,10363800
2021-02-23,129.100006,131.740005,125.379997,129.100006,128.615402,18444700
2021-02-24,129.509995,132.380005,127.680000,132.300003,131.803391,12782900
2021-02-25,131.520004,131.539993,125.720001,126.000000,125.527039,13581200
2021-02-26,125.430000,127.389999,122.830002,125.940002,125.467270,17281000
2021-03-01,129.630005,130.300003,127.239998,129.130005,128.645294,9714900
2021-03-02,128.429993,128.520004,126.000000,126.000000,125.527039,8274500
2021-03-03,126.720001,127.760002,122.709999,122.889999,122.428711,10660300
2021-03-04,121.949997,123.150002,113.489998,115.589996,115.156113,24454200
2021-03-05,120.900002,121.300003,115.379997,120.800003,120.346558,17448700
2021-03-08,120.540001,121.000000,113.699997,113.930000,113.502342,17246900
2021-03-09,117.070000,118.400002,115.330002,116.379997,115.943146,17717100
2021-03-10,117.800003,118.029999,113.410004,113.830002,113.402725,15240300
2021-03-11,118.239998,120.800003,117.070000,120.580002,120.127388,15091600
2021-03-12,119.000000,119.000000,117.279999,118.300003,117.855942,8171000
2021-03-15,118.650002,119.110001,116.709999,119.080002,118.633018,8935000
2021-03-16,119.720001,121.250000,118.099998,119.349998,118.902000,10793400
2021-03-17,117.750000,119.519997,115.389999,118.760002,118.760002,9890400
